code,year,gdp_per_capita
BTN,2010,9985.284
BTN,2011,10714.687
BTN,2012,11143.944
BTN,2013,11212.4795
BTN,2014,11744.519
BTN,2015,12400.298
BTN,2016,13320.976
BTN,2017,13482.343
BTN,2018,13854.8545
BTN,2019,14555.188
BTN,2020,12979.937
BTN,2021,13458.8125
BTN,2022,14061.3125
BTN,2023,14610.296
BOL,1990,6247.1045
BOL,1991,6440.486
BOL,1992,6414.3286
BOL,1993,6556.8164
BOL,1994,6731.2847
BOL,1995,6914.342
BOL,1996,7083.6133
BOL,1997,7301.5093
BOL,1998,7534.5166
BOL,1999,7435.7256
BOL,2000,7492.4336
BOL,2001,7491.1523
BOL,2002,7550.0156
BOL,2003,7625.9053
BOL,2004,7811.5967
BOL,2005,8020.6357
BOL,2006,8263.319
BOL,2007,8493.948
BOL,2008,8865.272
BOL,2009,9011.557
BOL,2010,9230.398
BOL,2011,9554.445
BOL,2012,9884.462
BOL,2013,10391.384
BOL,2014,10790.848
BOL,2015,11144.642
BOL,2016,11448.021
BOL,2017,11755.256
BOL,2018,11920.313
BOL,2019,11930.916
BOL,2020,10285.659
BOL,2021,11202.441
BOL,2022,11487.715
BOL,2023,11616.157
BOL,2024,11329.151
BIH,1990,2413.9482
BIH,1991,2183.5352
BIH,1992,2150.9197
BIH,1993,2281.8992
BIH,1994,2657.814
BIH,1995,3090.391
BIH,1996,4569.0015
BIH,1997,6020.9854
BIH,1998,6899.3257
BIH,1999,7481.335
BIH,2000,7830.534
BIH,2001,7982.552
BIH,2002,8366.727
BIH,2003,8709.993
BIH,2004,9344.869
BIH,2005,9814.511
BIH,2006,10430.455
BIH,2007,11178.728
BIH,2008,11983.77
BIH,2009,11826.699
BIH,2010,12142.912
BIH,2011,12487.701
BIH,2012,12626.979
BIH,2013,13135.772
BIH,2014,13458.908
BIH,2015,14220.149
BIH,2016,14873.703
BIH,2017,15554.724
BIH,2018,16349.067
BIH,2019,17029.367
BIH,2020,16747.105
BIH,2021,18286.738
BIH,2022,19298.197
BIH,2023,19805
BIH,2024,20527.693
BWA,1990,10520.918
BWA,1991,11001.802
BWA,1992,11008.681
BWA,1993,10902.951
BWA,1994,10989.67
BWA,1995,11457.699
BWA,1996,11832.938
BWA,1997,12526.353
BWA,1998,12306.25
BWA,1999,13207.447
BWA,2000,13185.817
BWA,2001,12949.641
BWA,2002,13479.696
BWA,2003,13857.259
BWA,2004,13984.842
BWA,2005,14361.958
BWA,2006,15275.583
BWA,2007,15850.234
BWA,2008,16040.315
BWA,2009,13489.951
BWA,2010,14545.02
BWA,2011,15236.719
BWA,2012,14957.619
BWA,2013,16369.426
BWA,2014,17052.193
BWA,2015,15994.964
BWA,2016,16905.588
BWA,2017,17352.896
BWA,2018,17825.02
BWA,2019,18106.01
BWA,2020,16289.392
BWA,2021,17960.625
BWA,2022,18647.373
BWA,2023,18932.48
BWA,2024,18068.506
BRA,1990,12633.288
BRA,1991,12546.561
BRA,1992,12271.979
BRA,1993,12669.429
BRA,1994,13202.931
BRA,1995,13550.439
BRA,1996,13641.63
BRA,1997,13896.625
BRA,1998,13737.703
BRA,1999,13602.414
BRA,2000,14005.348
BRA,2001,14016.132
BRA,2002,14265.905
BRA,2003,14259.366
BRA,2004,14911.261
BRA,2005,15221.014
BRA,2006,15657.4795
BRA,2007,16440.584
BRA,2008,17113.367
BRA,2009,16939.441
BRA,2010,18062.158
BRA,2011,18627.81
BRA,2012,18832.219
BRA,2013,19241.506
BRA,2014,19183.172
BRA,2015,18357.068
BRA,2016,17620.928
BRA,2017,17724.48
BRA,2018,17917.75
BRA,2019,18018.621
BRA,2020,17327.516
BRA,2021,18075.705
BRA,2022,18554.047
BRA,2023,19079.812
BRA,2024,19652.365
BRN,1990,118163.68
BRN,1991,118220.69
BRN,1992,111457.22
BRN,1993,107899.13
BRN,1994,106239.234
BRN,1995,105043.85
BRN,1996,102522.125
BRN,1997,106503.42
BRN,1998,97171.64
BRN,1999,99083.32
BRN,2000,100323.44
BRN,2001,99680.766
BRN,2002,101571.586
BRN,2003,103226.914
BRN,2004,101497.76
BRN,2005,99795.69
BRN,2006,102248.51
BRN,2007,96752.62
BRN,2008,91275.5
BRN,2009,87875.83
BRN,2010,88586.516
BRN,2011,90279.664
BRN,2012,89718.46
BRN,2013,86606.65
BRN,2014,83310.62
BRN,2015,81910.19
BRN,2016,78880.625
BRN,2017,78966.87
BRN,2018,78099.05
BRN,2019,80228.16
BRN,2020,80280.9
BRN,2021,78248.8
BRN,2022,76357.83
BRN,2023,76616.7
BRN,2024,79071.734
BGR,1990,14954.961
BGR,1991,13828.244
BGR,1992,12961.038
BGR,1993,12871.45
BGR,1994,13150.034
BGR,1995,13591.41
BGR,1996,14372.831
BGR,1997,12419.431
BGR,1998,12976.321
BGR,1999,11953.647
BGR,2000,12563.888
BGR,2001,13306.56
BGR,2002,14397.061
BGR,2003,15271.547
BGR,2004,16389.027
BGR,2005,17678.107
BGR,2006,19024.623
BGR,2007,20440.338
BGR,2008,21846.045
BGR,2009,21251.305
BGR,2010,21724.377
BGR,2011,22321.125
BGR,2012,22618.904
BGR,2013,22954.492
BGR,2014,23455.58
BGR,2015,24562.75
BGR,2016,25636.852
BGR,2017,26691.87
BGR,2018,27691.01
BGR,2019,29150.043
BGR,2020,28521.324
BGR,2021,30959.111
BGR,2022,32433.793
BGR,2023,33073.816
BGR,2024,34221.53
BFA,1990,1107.856
BFA,1991,1178.077
BFA,1992,1152.0448
BFA,1993,1162.6493
BFA,1994,1148.6072
BFA,1995,1183.5286
BFA,1996,1280.696
BFA,1997,1326.9423
BFA,1998,1385.0931
BFA,1999,1444.5669
BFA,2000,1428.574
BFA,2001,1477.2849
BFA,2002,1494.678
BFA,2003,1561.8331
BFA,2004,1581.2562
BFA,2005,1664.9955
BFA,2006,1714.7604
BFA,2007,1731.9304
BFA,2008,1779.3271
BFA,2009,1779.323
BFA,2010,1873.9714
BFA,2011,1939.8666
BFA,2012,2003.6647
BFA,2013,2057.064
BFA,2014,2083.1985
BFA,2015,2101.7026
BFA,2016,2162.7258
BFA,2017,2232.2878
BFA,2018,2316.3943
BFA,2019,2391.5364
BFA,2020,2380.9316
BFA,2021,2486.431
BFA,2022,2469.1995
BFA,2023,2486.2068
BFA,2024,2547.6724
BDI,1990,1460.2765
BDI,1991,1501.846
BDI,1992,1476.9944
BDI,1993,1429.1213
BDI,1994,1365.4835
BDI,1995,1184.284
BDI,1996,1088.7893
BDI,1997,1071.5594
BDI,1998,1101.2205
BDI,1999,1064.2876
BDI,2000,1033.4719
BDI,2001,1028.6185
BDI,2002,1044.4802
