code,year,child_mortality
AGO,1917,469.1
AGO,1918,468
AGO,1919,466.9
AGO,1920,465.7
AGO,1921,464.6
AGO,1922,463.5
AGO,1923,462.3
AGO,1924,461.2
AGO,1925,460
AGO,1926,458.9
AGO,1927,457.8
AGO,1928,456.6
AGO,1929,455.5
AGO,1930,454.3
AGO,1931,453.2
AGO,1932,452.1
AGO,1933,450.9
AGO,1934,449.8
AGO,1935,448.6
AGO,1936,447.5
AGO,1937,446.4
AGO,1938,445.2
AGO,1939,444.1
AGO,1940,442.9
AGO,1941,439.3
AGO,1942,435.7
AGO,1943,432.1
AGO,1944,427.1
AGO,1945,423.6
AGO,1946,420.1
AGO,1947,416.6
AGO,1948,411.8
AGO,1949,408.3
AGO,1950,404.9
AGO,1951,401.5
AGO,1952,395.7
AGO,1953,389.5
AGO,1954,382.8
AGO,1955,375.7
AGO,1956,368.3
AGO,1957,360.4
AGO,1958,352.2
AGO,1959,344.2
AGO,1960,336.2
AGO,1961,328.3
AGO,1962,320.6
AGO,1963,312.9
AGO,1964,305.2
AGO,1965,297.6
AGO,1966,290
AGO,1967,282.4
AGO,1968,275.3
AGO,1969,268.6
AGO,1970,262.3
AGO,1971,259.3
AGO,1972,256.4
AGO,1973,253.5
AGO,1974,250.6
AGO,1975,247.8
AGO,1976,245
AGO,1977,242.2
AGO,1978,239.5
AGO,1979,236.8
AGO,1980,234.1
AGO,1981,232.8
AGO,1982,231.5
AGO,1983,230.2
AGO,1984,229.1
AGO,1985,228.3
AGO,1986,227.5
AGO,1987,226.9
AGO,1988,226.5
AGO,1989,226.2
AGO,1990,226
AGO,1991,225.9
AGO,1992,226
AGO,1993,225.8
AGO,1994,225.5
AGO,1995,224.8
AGO,1996,224
AGO,1997,222.6
AGO,1998,220.8
AGO,1999,218.9
AGO,2000,216.7
AGO,2001,214.1
AGO,2002,211.7
AGO,2003,209.2
AGO,2004,206.7
AGO,2005,203.9
AGO,2006,200.5
AGO,2007,196.4
AGO,2008,192
AGO,2009,187.3
AGO,2010,182.5
AGO,2011,177.3
AGO,2012,172.2
AGO,2013,167.1
AGO,2014,162.2
AGO,2015,156.9
ATG,1800,473.6
ATG,1801,469.8
ATG,1802,466
ATG,1803,462.2
ATG,1804,458.5
ATG,1805,454.8
ATG,1806,451.1
ATG,1807,447.4
ATG,1808,443.8
ATG,1809,440.2
ATG,1810,436.7
ATG,1811,433.1
ATG,1812,429.6
ATG,1813,426.2
ATG,1814,422.7
ATG,1815,419.3
ATG,1816,415.9
ATG,1817,412.5
ATG,1818,409.2
ATG,1819,405.9
ATG,1820,402.6
ATG,1821,399.4
ATG,1822,396.1
ATG,1823,392.9
ATG,1824,389.8
ATG,1825,386.6
ATG,1826,383.5
ATG,1827,380.4
ATG,1828,377.3
ATG,1829,374.2
ATG,1830,371.2
ATG,1831,368.2
ATG,1832,365.2
ATG,1833,362.3
ATG,1834,359.4
ATG,1835,356.4
ATG,1836,353.6
ATG,1837,350.7
ATG,1838,347.9
ATG,1839,345.1
ATG,1840,342.3
ATG,1841,339.5
ATG,1842,336.8
ATG,1843,334
ATG,1844,331.3
ATG,1845,328.6
ATG,1846,326
ATG,1847,323.4
ATG,1848,320.8
ATG,1849,318.1
ATG,1850,315.6
ATG,1851,313
ATG,1852,310.5
ATG,1853,308
ATG,1854,305.5
ATG,1855,303
ATG,1856,300.6
ATG,1857,298.1
ATG,1858,295.7
ATG,1859,293.3
ATG,1860,291
ATG,1861,288.6
ATG,1862,286.3
ATG,1863,284
ATG,1864,281.7
ATG,1865,279.4
ATG,1866,277.1
